,name,ran_successfully,runtime,start_mem,max_mem,mode,commit_hash,datetime,fname
49,robust_multi_objective_bo,True,4.184020338999972,121.77734375,566.76171875,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
50,thompson_sampling,True,26.821906951000077,122.7421875,1105.16796875,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
51,turbo_1,True,146.38045626300004,122.9921875,751.64453125,smoke-test,8db9c7bb,2023-02-22 03:08:53.257852,smoke-test_8db9c7bb_2023-02-22 03:08:53.257852.csv
52,GIBBON_for_efficient_batch_entropy_search,True,20.05603548199997,113.87890625,629.5390625,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
53,Multi_objective_multi_fidelity_BO,True,94.58936644699996,115.52734375,600.20703125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
54,batch_mode_cross_validation,True,5.246058032999997,116.0703125,552.1796875,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
55,bo_with_warped_gp,True,24.238782713000035,116.8515625,556.80859375,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
56,closed_loop_botorch_only,True,21.112294746999964,116.8515625,550.36328125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
57,compare_mc_analytic_acquisition,True,5.870944228999974,117.06640625,529.76171875,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
58,composite_bo_with_hogp,True,186.603932977,117.06640625,1592.48828125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
59,composite_mtbo,True,101.24289547300008,117.06640625,623.12890625,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
60,constrained_multi_objective_bo,True,24.153183471000037,117.06640625,559.90625,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
61,custom_acquisition,True,41.36393919300008,117.06640625,911.92578125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
62,custom_botorch_model_in_ax,True,10.699781529999996,117.65625,995.015625,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
63,discrete_multi_fidelity_bo,True,101.66304338999998,117.65625,573.88671875,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
64,fit_model_with_torch_optimizer,True,5.912259115999973,117.90625,558.1953125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
65,information_theoretic_acquisition_functions,True,294.099437608,119.7421875,1783.6171875,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
66,max_value_entropy,True,15.557026781000104,119.7421875,954.70703125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
67,meta_learning_with_rgpe,True,6.643113560000074,119.8046875,570.68359375,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
68,multi_fidelity_bo,True,29.69579465600009,119.8046875,561.15234375,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
69,multi_objective_bo,True,37.28351315000009,119.8046875,571.9921875,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
70,one_shot_kg,True,8.304168961999949,119.8046875,542.92578125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
71,optimize_stochastic,True,5.099830168000153,119.8046875,544.15625,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
72,optimize_with_cmaes,True,6.817823374,119.8046875,557.30078125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
73,risk_averse_bo_with_environmental_variables,True,10.71536812599993,119.8046875,590.3515625,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
74,risk_averse_bo_with_input_perturbations,True,6.351786832000016,120.03125,730.19921875,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
75,robust_multi_objective_bo,True,5.200389644999859,121.484375,566.3203125,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
76,thompson_sampling,True,33.216339541000025,122.44921875,1117.87109375,smoke-test,52959e64,2023-02-22 21:46:29.434078,smoke-test_52959e64_2023-02-22 21:46:29.434078.csv
